AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00030460           0S     0S -7777S     3R    35R   157S   272S   244S    80S     7R -7777S     0R
USC00030536       -7777S -7777S     1S     8C    69C   221S   311S   266C   101C    12C -7777S -7777S
USC00030582       -7777R -7777R     1S     7S    52S   186S   296S   281S   111S    13S     1S     0S
USC00030586           0R     0R -7777R     2R    14R    82R   187R   181R    54R     2R -7777R     0R
USC00030618           0Q     0Q     1Q     2Q    27Q    96Q   202Q   214Q    55Q     7Q     1Q     0Q
USC00030664           0Q     0Q     0Q     2Q    13Q    85Q   215Q   199Q    53Q     4Q -7777Q     0Q
USC00030764           0S     0S -7777S     1S    16R   103S   202S   201S    65S     4R -7777S     0S
USC00030798       -7777S -7777S     1S     8S    45S   173S   300S   300S   113S    11S -7777S     0S
USC00030806           0C     0C -7777C     8C    57C   202C   288C   254S    96S    10S -7777S     0C
USC00030832           0S     0S -7777S     4S    34S   140S   268S   254S    91S     9S -7777S     0S
USC00030936           0S     0S -7777S     6S    52R   190S   282S   257S   100S    10S -7777S -7777S
USC00031102       -7777R -7777S     1S     4S    41S   174S   276S   268S   106S    10S -7777S -7777R
USC00031132           0S     0S -7777S     1S    13S    78S   175S   166S    41S     2S -7777S     0S
USC00031140           0R     0R     1R     7R    53R   176R   284R   272R   113R    13R -7777R     0R
USC00031152           0C -7777S     1S     9C    55C   189C   297C   285C   115S    12S     1C -7777C
USC00031191       -7777R -7777R     1R    10R    64R   193R   298R   289R   127R    19R     1R -7777R
USC00031442           0R     0R -7777R     8R    56R   199R   292S   255S    93S    11S -7777S     0S
USC00031455           0R     0R -7777R     2R    29R   143R   247R   253R    96R     7R -7777R     0R
USC00031457           0Q     0Q     0Q -7777Q    15Q    99Q   230Q   232Q    68Q     4Q -7777Q     0Q
USC00031459           0R     0R -7777R     5R    36R   158R   283R   284R    97R     9R -7777R     0R
USC00031596           0R     0R     1R     4S    35R   159R   275R   270R    97R     7R -7777R     0R
USC00031632           0S     0S -7777S     6S    47C   181C   271C   231C    77S     7C -7777S     0S
USC00031730       -7777S -7777S     1S     7S    49S   173S   269S   263S   114S    15S     1S -7777S
USC00031838           0S     0S     1S     6S    44S   174S   293S   291S   110S    10S -7777S     0S
USC00031900           0C     0S     0C -7777C     2C    35C   108C   123C    26C     1C     0C     0C
USC00031948           0S     0S -7777S     3S    38S   157S   272C   287C   116S    12S -7777S     0S
USC00031962       -7777S -7777S     2S    16S    94S   241S   330S   304S   148S    25S     2S -7777S
USC00031968           0S     0S -7777S     9S    67R   215S   315S   293S   112S    13S -7777S -7777S
USC00032148           0S     0S     1S    11S    74S   212S   290S   268S   114S    15S     1S -7777S
USC00032355       -7777S -7777S     2S    18S   106S   260S   346S   336S   172S    31S     2S -7777S
USC00032356           0S     0S -7777C     4S    18S    92C   210S   204C    59S     4R -7777C     0S
USC00032366       -7777S -7777S -7777S     3R    28S   140S   253S   238S    74R     5R -7777R -7777R
USC00032444           0R     0R -7777R     4R    20S   107R   225R   215R    71R     4R -7777R     0R
USC00032540           0S     0S     1S     4S    32S   140S   244S   243S    93S     8S -7777S     0S
USC00032794           0S     0S -7777S     3S    22S   108S   220S   212S    60S     4S -7777S     0S
USC00032930           0S -7777S     1C     5C    24C   109C   224C   219C    69C     5C -7777C     0C
USC00032962           0R     0R -7777R     1R    20R   114R   222R   210R    70R     4R -7777R     0R
USC00032978           0S     0S -7777S     3S    23S   126S   243S   232S    77S     4S -7777S     0S
USC00033132           0Q     0Q -7777Q     3Q    28Q   139Q   270Q   254Q    74Q     7Q -7777Q     0Q
USC00033242           0R     0S     1S    10S    72S   225S   326S   303S   130S    16S     1S     0S
USC00033428           0S -7777S     1S     7S    47S   173S   289S   286S   118S    14S     1S -7777S
USC00033466           0S     0S     1S     8S    50S   180S   307S   308S   123S    13S -7777S     0S
USC00033544           0S     0S -7777S     3S    16S    90S   205S   204S    60S     4S -7777S     0S
USC00033734           0S     0S -7777S     3S    38S   163S   257S   233S    73S     5S -7777S -7777S
USC00033821           0S     0S     1S    12S    75S   230S   309S   270S   109S    14S     1S -7777S
USC00033862       -7777C -7777C     1C    10C    63C   199C   286C   259C   103S    12S     1S -7777S
USC00033909           0Q     0Q -7777Q     2Q     5Q    64Q   169Q   188Q    39Q     3Q -7777Q     0Q
USC00034106           0S     0S -7777S -7777S     9S    68S   164S   154S    38S     1S     0S     0S
USC00034134           0S     0S     1S     5S    43S   162S   265S   243R    98R     8R -7777C -7777S
USC00034185       -7777R -7777R     1R    10R    55R   187R   293R   297R   127R    18R     1R -7777R
USC00034528           0Q     0Q -7777Q     8Q    42Q   172Q   274Q   255Q    85Q    11Q -7777Q     0Q
USC00034548       -7777S -7777S     1S     6S    52S   175S   281S   280S   122S    15S     1S -7777S
USC00034562           0S     0S     1R     5S    47R   176R   283S   267S   111S    11S -7777S -7777S
USC00034572           0S     0S -7777S     1S    12S    91S   182S   171S    43S     2S -7777S     0C
USC00034638           0C -7777C     1C     8C    68C   214C   297C   271S   116C    16C -7777C -7777C
USC00034666           0R     0S -7777S     2S    14S    91S   197S   178S    55S     4S -7777R     0R
USC00034711           0Q     0Q -7777Q     2Q    47Q   200Q   304Q   275Q    85Q     9Q     0Q     0Q
USC00034756           0R     0R -7777R     2S    20S   103S   207C   205C    68S     6S -7777R     0R
USC00034938           0S     0S -7777S     3S    32S   150R   268S   252S    92R     7R -7777R     0S
USC00034988           0C     0S -7777S     3S    21S   108S   214S   211S    67S     5S -7777S     0S
USC00035018           0R     0R -7777R     2R    20R   100R   219R   210R    61R     4R -7777R     0R
USC00035036           0R     0R -7777R     2R    17S   114S   224S   220S    65S     4R -7777R     0R
USC00035046           0R     0R -7777R     5R    28R   133R   245R   226R    80R     7R -7777R     0R
USC00035079           0S     0S -7777R     1R    17S   109S   212R   220S    79S     6S -7777S     0S
USC00035112       -7777S -7777S     1S     8S    60S   200S   318S   322S   149S    18S     1S -7777S
USC00035186           0C     0C -7777C     5C    48C   187S   285C   258S    92C     8S -7777C     0C
USC00035200           0R     0R -7777R     5S    34R   150C   270C   260C    93C     7S -7777S     0R
USC00035376           0R -7777R     2R     5R    56R   179R   279R   298R   128R    17R     2R     0R
USC00035508           0R     0R -7777R     2R    20R   128R   235R   258R    91R     7R -7777R     0R
USC00035512           0R     0R -7777R     4R    27R   136R   260R   264R    86R     7R -7777R     0R
USC00035563           0C     0C -7777C     3C    43C   177C   267C   240S    82S     6S -7777C     0C
USC00035754       -7777S -7777R     2R    12R    69S   210R   313R   299R   133R    17R     1R -7777R
USC00035820           0S     0S     0S     1S    26S   139S   236S   208S    57R     3S -7777S     0S
USC00035831           0Q     0Q -7777Q     5Q    36Q   147Q   255Q   244Q    81Q     8Q -7777Q     0Q
USC00035866           0S -7777S     1S     7S    65S   209S   292S   281S   126S    16S -7777S     0S
USC00035908           0S     0S     1S     3S    36S   150S   252S   255S    98S     8S -7777S     0S
USC00036174       -7777Q -7777Q     1Q    16Q    71Q   243Q   321Q   309Q   138Q    23Q     1Q     0Q
USC00036253           0S -7777S     1S    12S    81S   227S   307S   282S   128S    19S     1S -7777S
USC00036376           0R -7777S     1R     8S    58S   201R   298R   277R   121S    15R     1R -7777R
USC00036403           0Q     0Q -7777Q     1Q    12Q   106Q   213Q   199Q    48Q     2Q -7777Q     0Q
USC00036506           0S     0S     1S     4S    51S   185S   291S   268S    98S     7S -7777S -7777S
USC00036562       -7777S -7777S     1S     8S    49S   177S   284S   270S   108S    11S     1S -7777S
USC00036768       -7777R -7777R -7777R     4R    39R   158R   278R   252R    94R     5R -7777R -7777R
USC00036920           0S     0S     1S     7S    64S   210S   298S   272S   112S    14S -7777S     0S
USC00036928           0C     0S -7777C     5C    38C   153C   276C   263C    94S     8C -7777C     0C
USC00037488           0S     0S -7777S     3S    26S   121S   235S   225S    72S     5S -7777S     0S
USC00037582       -7777S -7777S     1S     7S    48S   172S   272S   260S   110S    13S     1S -7777S
USC00037712           0S     0S -7777S     7S    60S   203S   295S   269S   119S    14S -7777S -7777S
USC00038010           0Q     0Q -7777Q     5Q    29Q   148Q   267Q   249Q    81Q     7Q -7777Q     0Q
USC00038052           0S     0S -7777S     4S    50S   186S   261S   225S    80S    11S -7777S -7777S
USC00038084           0R     0R -7777R     2R    14R   116R   217R   193R    54R     3R -7777R     0R
USC00040029           0R     0R     0R     0R     1R     4R    35R    22R     2R     0R     0R     0R
USC00040136           0R -7777S     1R     5R     8S    37R   112R   143S   110R    31R     2R -7777R
USC00040161           0S     0S     0S     0S -7777S     2R    16R     6R     1R     0R     0R     0R
USC00040192           2R     2R     4R    10R    17R    34R   121R   154R   108R    41R    11R -7777R
USC00040212           0S     0S -7777S     1S    10S    31S    60S    52S    34S     9S -7777S     0S
USC00040232           0S     0S -7777R     2S    25S    72R   124S    97S    57C    11S -7777S     0S
USC00040343           0S     0S     0S     2S    38S   140S   313S   289S   148S    28S -7777S     0S
USC00040379           0S     0S     0S     2S    30S   112S   264S   234S   120S    19S -7777S     0S
USC00040383           0S     0S -7777S     1S    24S    81S   196S   173S    88S    17S -7777S     0S
USC00040436           0R -7777R     3R    50R   237R   477R   673R   625R   367R    67R     1R     0R
USC00040444           0Q     0Q -7777Q     7Q    50Q   158Q   306Q   279Q   147Q    22Q -7777Q     0Q
USC00040449           0S     0S -7777S     2R    24S   110S   291S   290S   157S    26R -7777R     0S
USC00040521           0R -7777R -7777S    10R    79S   242R   422S   377R   184S    24S -7777S     0R
USC00040673           0S     0S -7777S -7777S     3S     8S    13S    12S    11S     2S     0S     0S
USC00040693           0R     0R -7777R     1S     2S     5R     2R     2R     6R     3R -7777R     0R
USC00040738           0R     0R     0R -7777R     5R    30R   115S    96R    27R     1R     0R     0R
USC00040741           0S     0S     0S     0S     0S -7777S     1S -7777C     0S     0S     0C     0S
USC00040755           0Q     0Q     0Q     0Q -7777Q     2Q    32Q    31Q    10Q     1Q     0Q     0Q
USC00040790           0R -7777R -7777R     2R     3R     7R     4R     4R     9R     6R -7777R     0R
USC00040924           0S -7777S     7S    73S   261S   473S   660R   634S   416R   103S     3R     0S
USC00040931           0S     0S     0S     0S     0S -7777S     1S -7777S     0S     0S     0S     0S
USC00040943           0C     0C     0C     0S     0C     0S     0C     0C     0C     0C     0C     0S
USC00040983       -7777S     1S    11S    55S   191S   388S   584S   566S   389S   135S     9S     0S
USC00041018           0R     0R     0R     0R -7777R     4R    26R    20R     6R -7777R     0R     0R
USC00041048           0S -7777S     8S    47R   189R   390R   598R   608R   426R   140R     7R     0R
USC00041072           0S     0S     0S     0S     0S     0S -7777S -7777S     0S     0S     0S     0S
USC00041214           0R     0R     0R     0R -7777R     2R    14R     6R -7777R     0R     0R     0R
USC00041244           0S     0S -7777S     5S    63S   163S   306S   255S   125S    18S -7777S     0S
USC00041253           0S -7777S -7777S     2S     6S    18S    55S    53S    38S    13S     1S     0S
USC00041277           0C     0C     0S     0S -7777S     1S    13C     9C     1S     0C     0C     0C
USC00041312           0R     0S -7777S     1S     9S    28S    56S    44S    26S     6R -7777R     0R
USC00041316           0C     0C     0C     0C -7777C     2C    19C    11C     1C     0C     0C     0C
USC00041428           0S     0S -7777S     2S    26S    92S   201S   176S    99S    20S -7777S     0S
USC00041476           0R     0R     0R     0R -7777R     2R    17S     7S     1R     0R     0R     0R
USC00041484       -7777R -7777R     1R     5R    18R    51R   143R   162R   100R    18R -7777R -7777R
USC00041497           0S     0S     0S     0S -7777S     1S    16S     8S     1S     0S     0S     0S
USC00041534           0Q     0Q     0Q     2Q     2Q     7Q     7Q     7Q    22Q     6Q -7777Q     0Q
USC00041606           0R     0R     0R     0R     1R    12R    60R    40R     9R -7777R     0R     0R
USC00041614           0S     0S     0S     0S     1S     9S    62S    36S     2S -7777S     0S     0S
USC00041697           0C     0C     0C     0C     1C    12C    70C    60C    13C     1C     0C     0S
USC00041700           0S     0S     0S     0S     0S     1S     8S     3S -7777S     0S     0S     0R
USC00041715           0R     0R     0R     1R    32R    87R   178R   140R    72R     9R -7777R     0R
